X,Y,Predicted,Number of 1's,A2,Z2,A1,Z1
"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]",1,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.58, 10.67, 8.96, 7.1]"
"[0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.29, 14.48, 8.06, 6.97]"
"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[11.08, 9.61, 8.25, 10.96]"
"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.79, 13.42, 7.36, 10.83]"
"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[11.12, 9.63, 8.42, 10.9]"
"[0, 1, 0, 0, 1, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.84, 13.44, 7.53, 10.77]"
"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.11, 10.26, 12.63, 6.77]"
"[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.83, 14.06, 11.74, 6.64]"
"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.15, 10.28, 12.81, 6.71]"
"[0, 1, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.87, 14.08, 11.91, 6.58]"
"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.65, 9.21, 12.1, 10.56]"
"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.37, 13.02, 11.2, 10.44]"
"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.7, 9.23, 12.27, 10.51]"
"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.42, 13.04, 11.38, 10.38]"
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,2,0.14,-1.78,"[0.61, 0.78, 1.0, 0.54]","[0.46, 1.25, 5.75, 0.14]"
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0,0,3,0.08,-2.38,"[0.54, 0.99, 0.99, 0.5]","[0.17, 5.06, 4.85, 0.01]"
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,3,0.14,-1.78,"[0.62, 0.78, 1.0, 0.52]","[0.5, 1.27, 5.92, 0.08]"
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",0,0,4,0.09,-2.37,"[0.55, 0.99, 0.99, 0.49]","[0.22, 5.08, 5.02, -0.05]"
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",0,0,3,0.08,-2.41,"[0.98, 0.55, 0.99, 0.98]","[4.0, 0.21, 5.21, 3.94]"
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",0,0,4,0.02,-3.94,"[0.98, 0.98, 0.99, 0.98]","[3.72, 4.02, 4.32, 3.81]"
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",0,0,4,0.08,-2.42,"[0.98, 0.56, 1.0, 0.98]","[4.04, 0.23, 5.38, 3.88]"
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 1]",0,0,5,0.02,-3.95,"[0.98, 0.98, 0.99, 0.98]","[3.76, 4.04, 4.49, 3.75]"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",0,0,3,0.24,-1.15,"[0.51, 0.7, 1.0, 0.44]","[0.03, 0.85, 9.59, -0.25]"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",0,0,4,0.12,-2.04,"[0.44, 0.99, 1.0, 0.41]","[-0.25, 4.66, 8.7, -0.38]"
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,4,0.24,-1.15,"[0.52, 0.71, 1.0, 0.42]","[0.08, 0.87, 9.76, -0.31]"
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",0,0,5,0.12,-2.03,"[0.45, 0.99, 1.0, 0.39]","[-0.2, 4.68, 8.87, -0.44]"
"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",0,0,4,0.12,-2.03,"[0.97, 0.45, 1.0, 0.97]","[3.58, -0.19, 9.06, 3.55]"
"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",0,0,5,0.02,-3.92,"[0.96, 0.97, 1.0, 0.97]","[3.3, 3.62, 8.16, 3.42]"
"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",0,0,5,0.11,-2.04,"[0.97, 0.46, 1.0, 0.97]","[3.62, -0.17, 9.23, 3.49]"
"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",0,0,6,0.02,-3.92,"[0.97, 0.97, 1.0, 0.97]","[3.34, 3.64, 8.33, 3.36]"
"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.77, 5.68, 9.25, 3.43]"
"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]",0,0,4,0.02,-4.02,"[0.97, 1.0, 1.0, 0.96]","[3.49, 9.49, 8.36, 3.3]"
"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",0,0,4,0.02,-4.02,"[0.98, 1.0, 1.0, 0.97]","[3.82, 5.7, 9.42, 3.37]"
"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.02,"[0.97, 1.0, 1.0, 0.96]","[3.53, 9.51, 8.53, 3.24]"
"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.32, 4.64, 8.72, 7.22]"
"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.03, 8.45, 7.82, 7.09]"
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.36, 4.66, 8.89, 7.16]"
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.08, 8.47, 7.99, 7.03]"
"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",0,0,4,0.02,-3.97,"[0.97, 0.99, 1.0, 0.95]","[3.35, 5.28, 13.1, 3.04]"
"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",0,0,5,0.02,-3.96,"[0.96, 1.0, 1.0, 0.95]","[3.07, 9.09, 12.2, 2.91]"
"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",0,0,5,0.02,-3.97,"[0.97, 1.0, 1.0, 0.95]","[3.39, 5.3, 13.27, 2.98]"
"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",0,0,6,0.02,-3.96,"[0.96, 1.0, 1.0, 0.95]","[3.11, 9.11, 12.38, 2.85]"
"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.08,"[1.0, 0.99, 1.0, 1.0]","[6.89, 4.24, 12.57, 6.83]"
"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.61, 8.05, 11.67, 6.7]"
"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.08,"[1.0, 0.99, 1.0, 1.0]","[6.94, 4.26, 12.74, 6.77]"
"[0, 1, 0, 1, 0, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.66, 8.07, 11.84, 6.64]"
"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",0,0,3,0.02,-4.02,"[0.98, 1.0, 1.0, 0.97]","[3.71, 5.73, 9.23, 3.37]"
"[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",0,0,4,0.02,-4.01,"[0.97, 1.0, 1.0, 0.96]","[3.43, 9.54, 8.33, 3.24]"
"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]",0,0,4,0.02,-4.02,"[0.98, 1.0, 1.0, 0.96]","[3.76, 5.75, 9.4, 3.31]"
"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]",0,0,5,0.02,-4.01,"[0.97, 1.0, 1.0, 0.96]","[3.48, 9.56, 8.51, 3.18]"
"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.26, 4.69, 8.7, 7.16]"
"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.98, 8.5, 7.8, 7.03]"
"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0]",0,0,5,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.3, 4.71, 8.87, 7.1]"
"[0, 1, 0, 1, 1, 0, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.02, 8.52, 7.97, 6.98]"
"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",0,0,4,0.02,-3.97,"[0.96, 1.0, 1.0, 0.95]","[3.29, 5.33, 13.08, 2.98]"
"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]",0,0,5,0.02,-3.95,"[0.95, 1.0, 1.0, 0.95]","[3.01, 9.14, 12.18, 2.85]"
"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",0,0,5,0.02,-3.96,"[0.97, 1.0, 1.0, 0.95]","[3.34, 5.35, 13.25, 2.92]"
"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1]",0,0,6,0.02,-3.95,"[0.95, 1.0, 1.0, 0.94]","[3.05, 9.16, 12.35, 2.79]"
"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",0,0,5,0.02,-4.08,"[1.0, 0.99, 1.0, 1.0]","[6.84, 4.29, 12.55, 6.77]"
"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.55, 8.1, 11.65, 6.64]"
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0]",0,0,6,0.02,-4.08,"[1.0, 0.99, 1.0, 1.0]","[6.88, 4.31, 12.72, 6.71]"
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.6, 8.12, 11.82, 6.58]"
"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.03, 10.16, 12.74, 6.65]"
"[0, 1, 0, 1, 1, 1, 0, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.75, 13.97, 11.84, 6.52]"
"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.07, 10.18, 12.91, 6.59]"
"[0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.79, 13.99, 12.01, 6.46]"
"[0, 1, 0, 1, 1, 1, 0, 1, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.57, 9.12, 12.21, 10.45]"
"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.29, 12.93, 11.31, 10.32]"
"[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.62, 9.14, 12.38, 10.39]"
"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.34, 12.94, 11.48, 10.26]"
"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.61, 9.76, 16.59, 6.26]"
"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.33, 13.57, 15.69, 6.13]"
"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",1,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.65, 9.78, 16.76, 6.2]"
"[0, 1, 0, 1, 1, 1, 1, 0, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.37, 13.59, 15.86, 6.07]"
"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.15, 8.72, 16.05, 10.06]"
"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.87, 12.53, 15.16, 9.93]"
"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.2, 8.74, 16.22, 10.0]"
"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0,0,8,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.92, 12.55, 15.33, 9.87]"
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,2,0.1,-2.25,"[0.99, 0.69, 0.8, 0.99]","[4.51, 0.81, 1.39, 4.46]"
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",0,0,3,0.06,-2.69,"[0.99, 0.99, 0.62, 0.99]","[4.23, 4.62, 0.49, 4.33]"
"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",0,0,3,0.09,-2.36,"[0.99, 0.7, 0.83, 0.99]","[4.56, 0.83, 1.56, 4.4]"
"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,4,0.06,-2.83,"[0.99, 0.99, 0.66, 0.99]","[4.27, 4.64, 0.66, 4.27]"
"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",0,0,3,0.27,-1.01,"[1.0, 0.44, 0.7, 1.0]","[8.06, -0.23, 0.86, 8.25]"
"[0, 1, 1, 0, 0, 0, 0, 1, 0, 1]",0,0,4,0.1,-2.2,"[1.0, 0.97, 0.49, 1.0]","[7.77, 3.58, -0.04, 8.12]"
"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1,0,4,0.24,-1.16,"[1.0, 0.45, 0.74, 1.0]","[8.1, -0.21, 1.03, 8.19]"
"[0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",0,0,5,0.09,-2.35,"[1.0, 0.97, 0.53, 1.0]","[7.82, 3.6, 0.13, 8.06]"
"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",0,0,3,0.07,-2.59,"[0.98, 0.6, 0.99, 0.98]","[4.09, 0.41, 5.24, 4.06]"
"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",0,0,4,0.02,-3.96,"[0.98, 0.99, 0.99, 0.98]","[3.81, 4.22, 4.34, 3.94]"
"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]",0,0,4,0.07,-2.61,"[0.98, 0.61, 1.0, 0.98]","[4.13, 0.43, 5.41, 4.01]"
"[0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",0,0,5,0.02,-3.97,"[0.98, 0.99, 0.99, 0.98]","[3.85, 4.24, 4.51, 3.88]"
"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",0,0,4,0.15,-1.71,"[1.0, 0.35, 0.99, 1.0]","[7.63, -0.63, 4.7, 7.86]"
"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",0,0,5,0.02,-3.91,"[1.0, 0.96, 0.98, 1.0]","[7.35, 3.18, 3.81, 7.73]"
"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",0,0,5,0.15,-1.73,"[1.0, 0.35, 0.99, 1.0]","[7.68, -0.61, 4.88, 7.8]"
"[0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0,0,6,0.02,-3.92,"[1.0, 0.96, 0.98, 1.0]","[7.4, 3.2, 3.98, 7.67]"
"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.09,"[1.0, 0.99, 0.99, 1.0]","[7.83, 5.24, 4.9, 7.74]"
"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",0,0,4,0.02,-4.07,"[1.0, 1.0, 0.98, 1.0]","[7.55, 9.05, 4.0, 7.61]"
"[0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 0.99, 1.0]","[7.87, 5.26, 5.07, 7.68]"
"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.08,"[1.0, 1.0, 0.98, 1.0]","[7.59, 9.07, 4.17, 7.55]"
"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.04,"[1.0, 0.99, 0.99, 1.0]","[11.37, 4.2, 4.36, 11.54]"
"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.03,"[1.0, 1.0, 0.97, 1.0]","[11.09, 8.01, 3.47, 11.41]"
"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.04,"[1.0, 0.99, 0.99, 1.0]","[11.42, 4.22, 4.54, 11.48]"
"[0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.04,"[1.0, 1.0, 0.97, 1.0]","[11.14, 8.03, 3.64, 11.35]"
"[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.41, 4.84, 8.74, 7.35]"
"[0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.12, 8.65, 7.85, 7.22]"
"[0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",0,0,5,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.45, 4.86, 8.92, 7.29]"
"[0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.17, 8.67, 8.02, 7.16]"
"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.05,"[1.0, 0.98, 1.0, 1.0]","[10.95, 3.8, 8.21, 11.15]"
"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.67, 7.61, 7.32, 11.02]"
"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[11.0, 3.82, 8.38, 11.09]"
"[0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.71, 7.63, 7.49, 10.96]"
"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",0,0,3,0.02,-4.09,"[1.0, 0.99, 0.99, 1.0]","[7.77, 5.29, 4.88, 7.68]"
"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",0,0,4,0.02,-4.07,"[1.0, 1.0, 0.98, 1.0]","[7.49, 9.1, 3.98, 7.55]"
"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]",0,0,4,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.82, 5.31, 5.05, 7.62]"
"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]",0,0,5,0.02,-4.08,"[1.0, 1.0, 0.98, 1.0]","[7.53, 9.12, 4.15, 7.49]"
"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0,0,4,0.02,-4.04,"[1.0, 0.99, 0.99, 1.0]","[11.31, 4.25, 4.34, 11.48]"
"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",0,0,5,0.02,-4.02,"[1.0, 1.0, 0.97, 1.0]","[11.03, 8.05, 3.45, 11.35]"
"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",0,0,5,0.02,-4.05,"[1.0, 0.99, 0.99, 1.0]","[11.36, 4.27, 4.51, 11.42]"
"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1]",0,0,6,0.02,-4.04,"[1.0, 1.0, 0.97, 1.0]","[11.08, 8.07, 3.62, 11.29]"
"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.35, 4.89, 8.72, 7.29]"
"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.07, 8.7, 7.83, 7.16]"
"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",0,0,5,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.39, 4.91, 8.89, 7.23]"
"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.11, 8.72, 8.0, 7.1]"
"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",0,0,5,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[10.89, 3.85, 8.19, 11.09]"
"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.61, 7.66, 7.29, 10.96]"
"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",0,0,6,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[10.94, 3.87, 8.36, 11.03]"
"[0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.66, 7.68, 7.46, 10.9]"
"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[11.09, 9.72, 8.38, 10.97]"
"[0, 1, 1, 0, 1, 1, 0, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.81, 13.53, 7.49, 10.84]"
"[0, 1, 1, 0, 1, 1, 0, 0, 1, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[11.13, 9.74, 8.55, 10.91]"
"[0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.85, 13.55, 7.66, 10.78]"
"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.63, 8.68, 7.85, 14.76]"
"[0, 1, 1, 0, 1, 1, 0, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.35, 12.48, 6.95, 14.63]"
"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.68, 8.7, 8.02, 14.7]"
"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.39, 12.5, 7.12, 14.58]"
"[0, 1, 1, 0, 1, 1, 1, 0, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.67, 9.32, 12.23, 10.58]"
"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.38, 13.13, 11.33, 10.45]"
"[0, 1, 1, 0, 1, 1, 1, 0, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.71, 9.34, 12.4, 10.52]"
"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.43, 13.15, 11.51, 10.39]"
"[0, 1, 1, 0, 1, 1, 1, 1, 0, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.21, 8.28, 11.7, 14.37]"
"[0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.93, 12.09, 10.8, 14.24]"
"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.25, 8.3, 11.87, 14.31]"
"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",0,0,8,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.97, 12.11, 10.97, 14.19]"
"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0,0,3,0.08,-2.5,"[0.98, 0.58, 1.0, 0.98]","[4.01, 0.32, 5.34, 3.95]"
"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]",0,0,4,0.02,-3.96,"[0.98, 0.98, 0.99, 0.98]","[3.73, 4.12, 4.45, 3.82]"
"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",0,0,4,0.07,-2.52,"[0.98, 0.58, 1.0, 0.98]","[4.06, 0.33, 5.51, 3.89]"
"[0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",0,0,5,0.02,-3.96,"[0.98, 0.98, 0.99, 0.98]","[3.77, 4.14, 4.62, 3.76]"
"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]",0,0,4,0.16,-1.63,"[1.0, 0.33, 0.99, 1.0]","[7.56, -0.73, 4.81, 7.75]"
"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",0,0,5,0.02,-3.9,"[1.0, 0.96, 0.98, 1.0]","[7.27, 3.08, 3.91, 7.62]"
"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",0,0,5,0.16,-1.65,"[1.0, 0.33, 0.99, 1.0]","[7.6, -0.71, 4.98, 7.69]"
"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",0,0,6,0.02,-3.92,"[1.0, 0.96, 0.98, 1.0]","[7.32, 3.1, 4.08, 7.56]"
"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",0,0,4,0.11,-2.13,"[0.97, 0.48, 1.0, 0.97]","[3.59, -0.08, 9.19, 3.56]"
"[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]",0,0,5,0.02,-3.93,"[0.96, 0.98, 1.0, 0.97]","[3.31, 3.72, 8.29, 3.43]"
"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",0,0,5,0.11,-2.14,"[0.97, 0.48, 1.0, 0.97]","[3.63, -0.06, 9.36, 3.5]"
